"","legend","sex","name","n","G","U","grubbs","p_grubbs"
"192","Control Vehicle","M","Posit_Ghsr_cells",11,1.58,0.724,"lowest value 102 is an outlier",0.534
"193","Control Vehicle","M","double_Lepr_Pomc_cells",11,1.58,0.726,"lowest value 15 is an outlier",0.542
"194","Control Vehicle","M","triple_posit_cells_among_Pomc_cells",11,1.58,0.726,"lowest value 15.71428571 is an outlier",0.543
"195","HFHS FOS+GOS","F","double_Ghsr_Pomc_cells",10,1.53,0.711,"highest value 29 is an outlier",0.547
"196","HFHS FOS+GOS","F","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",10,1.53,0.712,"lowest value 62.3655914 is an outlier",0.547
"197","HFHS 1472","F","double_Lepr_Pomc_cells_among_Pomc_posit_cells",10,1.52,0.714,"lowest value 18.18181818 is an outlier",0.556
"198","HFHS Vehicle","M","Posit_Ghsr_cells",11,1.57,0.73,"lowest value 51 is an outlier",0.558
"199","HFHS Vehicle","M","double_Lepr_Pomc_cells",11,1.56,0.731,"lowest value 5 is an outlier",0.56
"200","HFHS FOS+GOS","F","Pomc_aver_puncta",10,1.52,0.716,"highest value 44.77 is an outlier",0.564
"201","HFHS FOS+GOS","F","Pomc_puncta_triple_cells",10,1.52,0.716,"highest value 44.17 is an outlier",0.564
"202","HFHS Vehicle","F","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",14,1.67,0.769,"lowest value 5.405405405 is an outlier",0.572
"203","HFHS Vehicle","F","Pomc_puncta_double_Lepr_Pomc_cells",14,1.67,0.77,"lowest value 7.37 is an outlier",0.578
"204","HFHS Vehicle","M","Posit_Pomc_cells",11,1.55,0.736,"highest value 98 is an outlier",0.583
"205","Control Vehicle","F","Lepr_puncta_double_Lepr_Ghsr_cells",13,1.62,0.762,"lowest value 8.48 is an outlier",0.589
"206","HFHS 1472","F","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",10,1.49,0.726,"lowest value 57.40740741 is an outlier",0.602
"207","Control Vehicle","M","Ghsr_puncta_double_Lepr_Ghsr_cells",11,1.53,0.744,"lowest value 15.82 is an outlier",0.616
"208","HFHS Vehicle","M","Ghsr_aver_puncta",11,1.52,0.745,"highest value 20.21 is an outlier",0.62
"209","HFHS FOS+GOS","F","triple_posit_cells_among_Ghsr_cells",10,1.47,0.733,"highest value 17.89473684 is an outlier",0.63
"210","HFHS Vehicle","F","Area",14,1.63,0.781,"highest value 154368.0742 is an outlier",0.64
"211","Control Vehicle","F","Lepr_aver_puncta",13,1.59,0.772,"lowest value 7.12 is an outlier",0.645
"212","HFHS 1472","M","Ghsr_aver_puncta",13,1.58,0.773,"highest value 24.98 is an outlier",0.65
"213","HFHS FOS+GOS","M","double_Ghsr_Pomc_cells_among_Pomc_posit_cells",12,1.54,0.765,"lowest value 5.128205128 is an outlier",0.663
"214","HFHS FOS+GOS","M","Pomc_aver_puncta",12,1.54,0.766,"highest value 35.52 is an outlier",0.667
"215","HFHS FOS+GOS","F","Posit_Pomc_cells",10,1.45,0.742,"lowest value 25 is an outlier",0.67
"216","HFHS FOS+GOS","M","double_Lepr_Pomc_cells_among_Pomc_posit_cells",12,1.53,0.767,"highest value 43.58974359 is an outlier",0.674
"217","HFHS FOS+GOS","F","triple_posit_cells_among_Pomc_cells",10,1.43,0.747,"highest value 41.81818182 is an outlier",0.693
"218","HFHS 1472","M","double_Lepr_Ghsr_cells_among_Lepr_posit_cells",13,1.56,0.781,"lowest value 42.85714286 is an outlier",0.695
"219","HFHS FOS+GOS","M","Lepr_puncta_triple_cells",12,1.52,0.772,"lowest value 5.04 is an outlier",0.697
