Name,Cage/Litter,Cohort,Sex,Diet,Treatment,Age,food_intake,energy_intake
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,29,2.27,8.2
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,29,1.95,7.1
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,29,2.33,8.5
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,29,2.36,8.6
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,29,4.52,20.8598
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,29,1.63,7.54
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,29,2,9.23
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,29,2.5,11.54
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,29,2.38,10.96
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,29,2.83,13.04
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,29,2.47,11.38
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,29,2.67,12.31
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,29,3.13,14.46
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,29,3.37,15.54
