symbol,sex,statistic_diet,p.adj_diet,statistic_treatment_FOSGOS,p.adj_treatment_FOSGOS,statistic_treatment_1472,p.adj_treatment_1472,restoration_FOSGOS,restoration_1472
4930505A04Rik,F,-0.329165774,0.75,-0.333531752,0.746,1.672346225,0.277,not restored,not restored
4930505A04Rik,M,1.406182849,0.19,0.258238995,1,1.13817506,0.852,not restored,not restored
4930522L14Rik,F,1.183906928,0.273,-1.268464386,0.466,0.333317724,0.746,not restored,not restored
4930522L14Rik,M,-1.960432464,0.088,0.411877625,1,0.127526204,1,not restored,not restored
4930523C07Rik,F,0.298967615,0.773,-1.425810901,0.192,1.838300219,0.192,not restored,not restored
4930523C07Rik,M,-2.713400153,0.034,0.228071496,1,0.276869929,1,not restored,not restored
4930524B15Rik,F,1.574484449,0.164,-0.645122178,1,-1.747739414,0.336,not restored,not restored
4930524B15Rik,M,-0.729490111,0.483,0.567601464,1,0.43185083,1,not restored,not restored
4930550C14Rik,F,-0.58466558,0.572,-0.248799027,0.809,1.0196872,0.674,not restored,not restored
4930550C14Rik,M,-1.558500522,0.165,-0.434307354,0.673,1.762547732,0.218,not restored,not restored
4930562C15Rik,F,-1.518881517,0.17,0.704782595,0.924,1.444743835,0.537,not restored,not restored
4930562C15Rik,M,-0.781429545,0.458,0.061827298,1,-0.227215862,1,not restored,not restored
4930563E22Rik,F,1.523607821,0.181,-1.084358615,0.924,-0.14974542,0.924,not restored,not restored
4930563E22Rik,M,-0.10099763,0.922,-1.058535979,0.972,-0.394938052,1,not restored,not restored
4930579G24Rik,F,-1.339451243,0.216,0.83187719,0.897,0.169035251,0.897,not restored,not restored
4930579G24Rik,M,-0.324413953,0.755,0.238528543,1,0.256831806,1,not restored,not restored
4930590J08Rik,F,0.266989335,0.795,0.567745634,1,1.017050808,1,not restored,not restored
4930590J08Rik,M,0.417921358,0.685,0.717881146,1,-0.008606224,1,not restored,not restored
4931406B18Rik,F,1.085018555,0.319,-0.012341141,1,0.392107255,1,not restored,not restored
4931406B18Rik,M,0.186118364,0.858,-0.604924011,0.942,0.748873197,0.942,not restored,not restored
4931406C07Rik,F,2.544421968,0.033,-0.611032601,1,-0.66107026,1,not restored,not restored
4931406C07Rik,M,2.011054834,0.082,-0.82980516,0.854,-1.234808507,0.759,not restored,not restored
4931414P19Rik,F,1.209230284,0.276,-0.277960417,0.787,-1.744554454,0.384,not restored,not restored
4931414P19Rik,M,-0.110121932,0.915,0.495195409,1,0.240265434,1,not restored,not restored
4931422A03Rik,F,-1.303873255,0.222,-1.558505315,0.453,-0.202698687,0.844,not restored,not restored
4931422A03Rik,M,-0.014559882,0.989,0.550608919,1,0.651758479,1,not restored,not restored
4931428L18Rik,F,2.373517779,0.04,-0.575965502,1,-0.852869041,1,not restored,not restored
4931428L18Rik,M,-0.410758129,0.694,-0.394868549,1,-0.719846762,1,not restored,not restored
4931440P22Rik,F,0.687586355,0.51,0.836708057,0.664,1.818318477,0.297,not restored,not restored
4931440P22Rik,M,0.595474588,0.567,-0.587660348,0.722,-1.740950419,0.36,not restored,not restored
4932414N04Rik,F,0.079377428,0.939,-0.684005743,1,-0.936681769,1,not restored,not restored
