Name,Cage/Litter,Mouse_ID,Cohort,Sex,Diet,Treatment,Age,bw,bw_gain
HFHS_1472_C5_L130_P501_F,130,501,5,F,HFHS,1472,PND7,4.3,2.9
HFHS_1472_C5_L130_P503_F,130,503,5,F,HFHS,1472,PND7,4.4,2.9
HFHS_1472_C5_L130_P506_M,130,506,5,M,HFHS,1472,PND7,4.6,3
HFHS_1472_C5_L130_P507_M,130,507,5,M,HFHS,1472,PND7,4.6,3.1
HFHS_1472_C5_L130_P508_M,130,508,5,M,HFHS,1472,PND7,4.4,3
CT_CT_C1_L105_P101_F,105,101,1,F,Control,Vehicle,PND14,4.9,3.5
CT_CT_C1_L105_P102_F,105,102,1,F,Control,Vehicle,PND14,4.6,3.6
CT_CT_C1_L105_P103_M,105,103,1,M,Control,Vehicle,PND14,4.8,3.6
CT_CT_C1_L105_P104_M,105,104,1,M,Control,Vehicle,PND14,5.2,3.8
CT_CT_C1_L105_P105_M,105,105,1,M,Control,Vehicle,PND14,4.5,3.2
CT_CT_C1_L105_P106_M,105,106,1,M,Control,Vehicle,PND14,4.9,3.7
CT_CT_C1_L104_P113_F,104,113,1,F,Control,Vehicle,PND14,5.2,4.1
CT_CT_C1_L104_P115_F,104,115,1,F,Control,Vehicle,PND14,3.6,2.4
CT_CT_C1_L104_P116_M,104,116,1,M,Control,Vehicle,PND14,4,2.8
CT_CT_C1_L104_P117_M,104,117,1,M,Control,Vehicle,PND14,6.4,5
CT_CT_C2_L117_P201_F,117,201,2,F,Control,Vehicle,PND14,5.2,4
CT_CT_C2_L117_P202_F,117,202,2,F,Control,Vehicle,PND14,5,3.6
CT_CT_C2_L117_P204_M,117,204,2,M,Control,Vehicle,PND14,5.8,4.2
CT_CT_C2_L122_P207_F,122,207,2,F,Control,Vehicle,PND14,7.8,6.4
CT_CT_C2_L122_P208_F,122,208,2,F,Control,Vehicle,PND14,8.4,6.9
CT_CT_C2_L117_P209_M,117,209,2,M,Control,Vehicle,PND14,8,6.6
CT_CT_C4_L129_P401_F,129,401,4,F,Control,Vehicle,PND14,6.8,5.4
CT_CT_C4_L129_P402_F,129,402,4,F,Control,Vehicle,PND14,6.9,5.5
CT_CT_C4_L129_P405_M,129,405,4,M,Control,Vehicle,PND14,6.6,5.2
CT_CT_C4_L129_P407_M,129,407,4,M,Control,Vehicle,PND14,6.9,5.5
CT_CT_C4_L113_P408_F,113,408,4,F,Control,Vehicle,PND14,4.8,3.4
CT_CT_C4_L113_P409_F,113,409,4,F,Control,Vehicle,PND14,5.1,3.7
CT_CT_C4_L113_P412_M,113,412,4,M,Control,Vehicle,PND14,5.4,4
CT_CT_C4_L113_P413_M,113,413,4,M,Control,Vehicle,PND14,5.6,4.2
HFHS_CT_C1_L110_P109_M,110,109,1,M,HFHS,Vehicle,PND14,7.4,6.1
HFHS_CT_C1_L110_P110_M,110,110,1,M,HFHS,Vehicle,PND14,7.3,5.8
HFHS_CT_C1_L107_P119_M,107,119,1,M,HFHS,Vehicle,PND14,5.6,4.3
HFHS_CT_C1_L107_P121_M,107,121,1,M,HFHS,Vehicle,PND14,4.9,3.7
HFHS_CT_C2_L123_P211_F,123,211,2,F,HFHS,Vehicle,PND14,6.7,5.4
HFHS_CT_C2_L123_P212_F,123,212,2,F,HFHS,Vehicle,PND14,3.2,
