"Family",".y..x","group1","group2","p","p.adj","p.format","p.signif","method",".y..y","effsize","n1","n2","magnitude"
"Erysipelotrichaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Erysipelotrichaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.701478108866614,1,"0.7015","ns","Wilcoxon","Abundance",0.119522860933439,7,7,"small"
"Erysipelotrichaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.522903234512671,1,"0.5229","ns","Wilcoxon","Abundance",0.18782163860969,7,7,"small"
"Erysipelotrichaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.306685065904181,1,"0.3067","ns","Wilcoxon","Abundance",0.290269805124067,7,7,"small"
"Lachnospiraceae","Abundance","Control Vehicle","HFHS Vehicle",0.00729035809153564,1,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Lachnospiraceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Lachnospiraceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.201336485287401,1,"0.2013","ns","Wilcoxon","Abundance",0.358568582800318,7,7,"moderate"
"Lachnospiraceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0409135529844968,1,"0.0409","*","Wilcoxon","Abundance",0.563464915829071,7,7,"large"
"Lachnospiraceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.371093369522698,1,"0.3711","ns","Wilcoxon","Abundance",0.256120416285941,7,7,"small"
"Lachnospiraceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.250153007959382,1,"0.2502","ns","Wilcoxon","Abundance",0.324419193962193,7,7,"moderate"
"Lactobacillaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0736382701203026,1,"0.0736","ns","Wilcoxon","Abundance",0.49516613815282,7,7,"moderate"
"Lactobacillaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0298420644179543,1,"0.0298","*","Wilcoxon","Abundance",0.597614304667197,7,7,"large"
"Lactobacillaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00729035809153564,1,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Lactobacillaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Lactobacillaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.609280159304103,1,"0.6093","ns","Wilcoxon","Abundance",0.153672249771565,7,7,"small"
"Lactobacillaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.44328852211644,1,"0.4433","ns","Wilcoxon","Abundance",0.221971027447816,7,7,"small"
"Marinifilaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Marinifilaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Marinifilaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Marinifilaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Marinifilaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0170746944190628,7,7,"small"
"Marinifilaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00729035809153564,1,"0.0073","**","Wilcoxon","Abundance",0.734211860019699,7,7,"large"
"Mitochondria","Abundance","Control Vehicle","HFHS Vehicle",0.233536809732991,1,"0.2335","ns","Wilcoxon","Abundance",0.338286881228898,7,7,"moderate"
"Mitochondria","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Mitochondria","Abundance","Control Vehicle","HFHS B. longum APC1472",0.336906503648492,1,"0.3369","ns","Wilcoxon","Abundance",0.278037254679016,7,7,"small"
"Mitochondria","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0307212324156618,1,"0.0307","*","Wilcoxon","Abundance",0.598849471616342,7,7,"large"
"Mitochondria","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0182335902277282,7,7,"small"
"Mitochondria","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0754126204649279,1,"0.0754","ns","Wilcoxon","Abundance",0.498935036064582,7,7,"moderate"
"Monoglobaceae","Abundance","Control Vehicle","HFHS Vehicle",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0280165907340263,7,7,"small"
"Monoglobaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Monoglobaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Moraxellaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Moraxellaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Moraxellaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.391365938307552,1,"0.3914","ns","Wilcoxon","Abundance",0.267261241912424,7,7,"small"
"Muribaculaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00329451387658258,0.67,"0.0033","**","Wilcoxon","Abundance",0.80251063769595,7,7,"large"
"Muribaculaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.798297847328526,1,"0.7983","ns","Wilcoxon","Abundance",0.0853734720953138,7,7,"small"
"Muribaculaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Muribaculaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Muribaculaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",1,1,"1.0000","ns","Wilcoxon","Abundance",0.0170746944190628,7,7,"small"
"Muribaculaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Oscillospiraceae","Abundance","Control Vehicle","HFHS Vehicle",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Oscillospiraceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.0151936099774602,1,"0.0152","*","Wilcoxon","Abundance",0.665913082343448,7,7,"large"
"Oscillospiraceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0552849927170241,1,"0.0553","ns","Wilcoxon","Abundance",0.529315526990946,7,7,"large"
"Oscillospiraceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00216502933303838,0.47,"0.0022","**","Wilcoxon","Abundance",0.836660026534076,7,7,"large"
"Oscillospiraceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.522903234512671,1,"0.5229","ns","Wilcoxon","Abundance",0.18782163860969,7,7,"small"
"Oscillospiraceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00493790547090731,0.97,"0.0049","**","Wilcoxon","Abundance",0.768361248857824,7,7,"large"
"Peptococcaceae","Abundance","Control Vehicle","HFHS Vehicle",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Peptococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.124785918988563,1,"0.1248","ns","Wilcoxon","Abundance",0.427337220124011,7,7,"moderate"
"Peptococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.0106033453821227,1,"0.0106","*","Wilcoxon","Abundance",0.700062471181573,7,7,"large"
"Peptococcaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00489062405357086,0.96,"0.0049","**","Wilcoxon","Abundance",0.76920699622322,7,7,"large"
"Peptococcaceae","Abundance","HFHS Vehicle","HFHS B. longum APC1472",0.898326787269238,1,"0.8983","ns","Wilcoxon","Abundance",0.0512240832571883,7,7,"small"
"Peptococcaceae","Abundance","HFHS FOS+GOS","HFHS B. longum APC1472",0.00214070973158512,0.47,"0.0021","**","Wilcoxon","Abundance",0.837580951443062,7,7,"large"
"Peptostreptococcaceae","Abundance","Control Vehicle","HFHS Vehicle",0.00404088025979272,0.8,"0.0040","**","Wilcoxon","Abundance",0.785826234747513,7,7,"large"
"Peptostreptococcaceae","Abundance","Control Vehicle","HFHS FOS+GOS",0.593767798161571,1,"0.5938","ns","Wilcoxon","Abundance",0.166311678688194,7,7,"small"
"Peptostreptococcaceae","Abundance","Control Vehicle","HFHS B. longum APC1472",0.00950435395333063,1,"0.0095","**","Wilcoxon","Abundance",0.710876216468742,7,7,"large"
"Peptostreptococcaceae","Abundance","HFHS Vehicle","HFHS FOS+GOS",0.00141376326491381,0.32,"0.0014","**","Wilcoxon","Abundance",0.870823365174209,7,7,"large"
